"FinancialYear","HBR","HBRQF","SIMD","Dataset","DatasetQF","DischargeCount","DischargeCountQF","DischargeRates","DischargeRatesQF","PatientsCount","PatientCountQF","PatientsRates","PatientRatesQF","HospitalResidentsCount","HospitalResidentsCountQF","HospitalResidentsRates","HospitalResidentsRatesQF"
"2010/11","S92000003","d",4,"SMR04"," ","2780"," ","266.08"," ","2130"," ","203.86"," ","605"," ","57.9"," "
"2010/11","S92000003","d",5,"SMR04"," ","2045"," ","199.31"," ","1565"," ","152.52"," ","445"," ","43.37"," "
"2011/12","S92000003","d",1,"SMR04"," ","7085"," ","657.75"," ","5075"," ","471.15"," ","1000"," ","92.84"," "
"2011/12","S92000003","d",2,"SMR04"," ","5345"," ","501.48"," ","3870"," ","363.09"," ","885"," ","83.03"," "
"2011/12","S92000003","d",3,"SMR04"," ","3625"," ","339.24"," ","2710"," ","253.61"," ","785"," ","73.46"," "
"2011/12","S92000003","d",4,"SMR04"," ","2880"," ","272.5"," ","2165"," ","204.85"," ","550"," ","52.04"," "
"2011/12","S92000003","d",5,"SMR04"," ","1975"," ","191.48"," ","1515"," ","146.88"," ","410"," ","39.75"," "
"2012/13","S92000003","d",1,"SMR04"," ","6855"," ","637.03"," ","4945"," ","459.54"," ","950"," ","88.28"," "
"2012/13","S92000003","d",2,"SMR04"," ","5125"," ","481.07"," ","3790"," ","355.75"," ","910"," ","85.42"," "
"2012/13","S92000003","d",3,"SMR04"," ","3855"," ","358.98"," ","2860"," ","266.32"," ","785"," ","73.1"," "
"2012/13","S92000003","d",4,"SMR04"," ","2780"," ","261.46"," ","2100"," ","197.51"," ","520"," ","48.91"," "
"2012/13","S92000003","d",5,"SMR04"," ","2040"," ","197.09"," ","1540"," ","148.79"," ","415"," ","40.1"," "
"2013/14","S92000003","d",1,"SMR04"," ","6835"," ","635.33"," ","4945"," ","459.65"," ","935"," ","86.91"," "
"2013/14","S92000003","d",2,"SMR04"," ","4975"," ","466.89"," ","3615"," ","339.26"," ","825"," ","77.42"," "
"2013/14","S92000003","d",3,"SMR04"," ","3685"," ","342.71"," ","2700"," ","251.1"," ","870"," ","80.91"," "
"2013/14","S92000003","d",4,"SMR04"," ","2910"," ","272.19"," ","2155"," ","201.57"," ","520"," ","48.64"," "
"2013/14","S92000003","d",5,"SMR04"," ","2075"," ","199.15"," ","1525"," ","146.36"," ","390"," ","37.43"," "
"2014/15","S92000003","d",1,"SMR04"," ","6990"," ","653.55"," ","4925"," ","460.48"," ","960"," ","89.76"," "
"2014/15","S92000003","d",2,"SMR04"," ","5075"," ","474.32"," ","3420"," ","319.64"," ","765"," ","71.5"," "
"2014/15","S92000003","d",3,"SMR04"," ","3870"," ","362"," ","2715"," ","253.96"," ","785"," ","73.43"," "
"2014/15","S92000003","d",4,"SMR04"," ","2790"," ","260.7"," ","2000"," ","186.89"," ","535"," ","49.99"," "
"2014/15","S92000003","d",5,"SMR04"," ","2050"," ","191.79"," ","1445"," ","135.19"," ","440"," ","41.16"," "
"2015/16","S92000003","d",1,"SMR04"," ","6955"," ","647.92"," ","4810"," ","448.1"," ","965"," ","89.9"," "
"2015/16","S92000003","d",2,"SMR04"," ","5380"," ","501.3"," ","3555"," ","331.25"," ","740"," ","68.95"," "
"2015/16","S92000003","d",3,"SMR04"," ","4135"," ","385.71"," ","2790"," ","260.25"," ","765"," ","71.36"," "
"2015/16","S92000003","d",4,"SMR04"," ","2865"," ","265.65"," ","1980"," ","183.59"," ","565"," ","52.39"," "
"2015/16","S92000003","d",5,"SMR04"," ","2170"," ","201.71"," ","1490"," ","138.5"," ","380"," ","35.32"," "
"2016/17","S92000003","d",1,"SMR04"," ","6760"," ","626.42"," ","4680"," ","433.67"," ","915"," ","84.79"," "
"2016/17","S92000003","d",2,"SMR04"," ","5140"," ","477.31"," ","3395"," ","315.27"," ","715"," ","66.4"," "
"2016/17","S92000003","d",3,"SMR04"," ","3935"," ","365.16"," ","2685"," ","249.16"," ","745"," ","69.13"," "
"2016/17","S92000003","d",4,"SMR04"," ","2765"," ","254.31"," ","1950"," ","179.35"," ","515"," ","47.37"," "
"2016/17","S92000003","d",5,"SMR04"," ","2220"," ","204.83"," ","1550"," ","143.01"," ","425"," ","39.21"," "
"2017/18","S92000003","d",1,"SMR04"," ","6960"," ","641.68"," ","4765"," ","439.31"," ","935"," ","86.2"," "
"2017/18","S92000003","d",2,"SMR04"," ","5225"," ","481.56"," ","3460"," ","318.89"," ","860"," ","79.26"," "
"2017/18","S92000003","d",3,"SMR04"," ","3625"," ","333.96"," ","2490"," ","229.4"," ","650"," ","59.88"," "
"2017/18","S92000003","d",4,"SMR04"," ","2705"," ","249.32"," ","1885"," ","173.74"," ","525"," ","48.39"," "
"2017/18","S92000003","d",5,"SMR04"," ","2095"," ","193.14"," ","1455"," ","134.14"," ","320"," ","29.5"," "
"2018/19","S92000003","d",1,"SMR04"," ","7460"," ","687.84"," ","4860"," ","448.11"," ","925"," ","85.29"," "
"2018/19","S92000003","d",2,"SMR04"," ","5400"," ","498.23"," ","3415"," ","315.08"," ","825"," ","76.12"," "
"2018/19","S92000003","d",3,"SMR04"," ","3785"," ","347.83"," ","2475"," ","227.44"," ","615"," ","56.52"," "
"2018/19","S92000003","d",4,"SMR04"," ","2805"," ","256.25"," ","1890"," ","172.66"," ","505"," ","46.13"," "
"2018/19","S92000003","d",5,"SMR04"," ","2145"," ","197.35"," ","1425"," ","131.11"," ","325"," ","29.9"," "
"2019/20","S92000003","d",1,"SMR04"," ","7465"," ","687.31"," ","4775"," ","439.64"," ","740"," ","68.13"," "
"2019/20","S92000003","d",2,"SMR04"," ","5350"," ","492.28"," ","3365"," ","309.63"," ","645"," ","59.35"," "
